Time (s),Wind Speed (mph)
0,6
1,6
2,6
3,4.5
4,6
5,6
6,6
7,7.5
8,6
9,6
10,4.5
11,6
12,4.5
13,6
14,3
15,6
16,3
17,3
18,4.5
19,3
20,4.5
21,4.5
22,4.5
23,4.5
24,6
25,4.5
26,6
27,4.5
28,4.5
29,4.5
30,4.5
31,4.5
32,4.5
33,4.5
34,4.5
35,6
36,6
37,4.5
38,4.5
39,6
40,6
41,6
42,4.5
43,7.5
44,4.5
45,6
46,4.5
47,6
48,6
49,6
50,6
51,7.5
52,7.5
53,6
54,7.5
55,7.5
56,7.5
57,7.5
58,9
59,9
60,9
61,9
62,10.5
63,12
64,10.5
65,10.5
66,9
67,7.5
68,7.5
69,6
70,6
71,6
72,4.5
73,6
74,4.5
75,4.5
76,4.5
77,3
78,4.5
79,3
80,3
81,1.5
82,3
83,3
84,4.5
85,6
86,6
87,7.5
88,7.5
89,6
90,9
91,6
92,9
93,7.5
94,6
95,6
96,4.5
97,6
98,4.5
99,4.5
100,6
101,3
102,6
103,4.5
104,6
105,7.5
106,7.5
107,7.5
108,9
109,9
110,9
111,9
112,9
113,7.5
114,7.5
115,6
116,6
117,7.5
118,9
119,9
120,9
121,10.5
122,10.5
123,12
124,13.5
125,15
126,16.5
127,16.5
128,16.5
129,13.5
130,12
131,12
132,10.5
133,9
134,9
135,7.5
136,9
137,6
138,6
139,4.5
140,7.5
141,9
142,10.5
143,10.5
144,9
145,9
146,9
147,7.5
148,7.5
149,6
150,7.5
151,6
152,4.5
153,4.5
154,6
155,6
156,6
157,6
158,6
159,6
160,4.5
161,4.5
162,4.5
163,4.5
164,4.5
165,6
166,6
167,4.5
168,6
169,6
170,6
171,6
172,7.5
173,6
174,9
175,6
176,9
177,9
178,9
179,7.5
180,7.5
181,7.5
182,7.5
183,6
184,7.5
185,7.5
186,7.5
187,6
188,6
189,4.5
190,6
191,3
192,3
193,6
194,3
195,4.5
196,3
197,3
198,1.5
199,3
200,1.5
201,1.5
202,1.5
203,3
204,3
205,6
206,7.5
207,10.5
208,10.5
209,9
210,9
211,7.5
212,10.5
213,9
214,10.5
215,10.5
216,10.5
217,9
218,7.5
219,9
220,9
221,6
222,6
223,6
224,6
225,7.5
226,7.5
227,9
228,9
229,9
230,9
231,7.5
232,7.5
233,7.5
234,7.5
235,6
236,6
237,6
238,4.5
239,7.5
240,6
241,6
242,6
243,4.5
244,4.5
245,6
246,6
247,7.5
248,6
249,7.5
250,6
251,6
252,6
253,6
254,7.5
255,7.5
256,6
257,7.5
258,7.5
259,6
260,7.5
261,7.5
262,7.5
263,7.5
264,7.5
265,7.5
266,6
267,4.5
268,4.5
269,4.5
270,4.5
271,3
272,4.5
273,4.5
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,4.5
285,4.5
286,3
287,6
288,3
289,6
290,6
291,9
292,7.5
293,9
294,7.5
295,6
296,6
297,7.5
298,6
299,7.5
300,7.5
301,7.5
302,6
303,7.5
304,7.5
305,9
306,7.5
307,10.5
308,7.5
309,7.5
310,7.5
311,9
312,9
313,7.5
314,7.5
315,9
316,7.5
317,6
318,7.5
319,6
320,6
321,7.5
322,4.5
323,6
324,3
325,4.5
326,3
327,4.5
328,1.5
329,3
330,1.5
331,3
332,1.5
333,1.5
334,1.5
335,0
336,0
337,4.5
338,19.5
339,6
340,6
341,4.5
342,7.5
343,7.5
344,7.5
345,7.5
346,7.5
347,7.5
348,6
349,6
350,4.5
351,4.5
352,0
353,7.5
354,6
355,4.5
356,4.5
357,6
358,4.5
359,4.5
360,6
361,6
362,7.5
363,6
364,6
365,4.5
366,7.5
367,7.5
368,6
369,7.5
370,7.5
371,7.5
372,9
373,9
374,9
375,7.5
376,6
377,7.5
378,9
379,10.5
380,13.5
381,9
382,10.5
383,9
384,9
385,9
386,10.5
387,9
388,9
389,7.5
390,9
391,7.5
392,7.5
393,9
394,6
395,6
396,6
397,4.5
398,6
399,4.5
400,4.5
401,6
402,4.5
403,6
404,6
405,6
406,6
407,3
408,4.5
409,4.5
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,4.5
424,4.5
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,1.5
434,1.5
435,3
436,1.5
437,3
438,1.5
439,1.5
440,3
441,1.5
442,3
443,1.5
444,1.5
445,3
446,3
447,0
448,3
449,1.5
450,1.5
451,1.5
452,0
453,1.5
454,1.5
455,1.5
456,0
457,1.5
458,0
459,1.5
460,0
461,1.5
462,1.5
463,0
464,1.5
465,1.5
466,1.5
467,1.5
468,3
469,1.5
470,4.5
471,3
472,3
473,4.5
474,6
475,4.5
476,6
477,6
478,6
479,6
480,4.5
481,4.5
482,4.5
483,4.5
484,6
485,4.5
486,4.5
487,6
488,3
489,4.5
490,4.5
491,4.5
492,3
493,3
494,3
495,3
496,3
497,1.5
498,3
499,1.5
500,1.5
501,3
502,1.5
503,1.5
504,3
505,3
506,1.5
507,4.5
508,3
509,3
510,3
511,3
512,4.5
513,4.5
514,3
515,4.5
516,3
517,4.5
518,3
519,3
520,4.5
521,3
522,4.5
523,6
524,4.5
525,4.5
526,4.5
527,4.5
528,6
529,4.5
530,4.5
531,4.5
532,4.5
533,3
534,3
535,4.5
536,3
537,3
538,1.5
539,3
540,1.5
541,3
542,3
543,4.5
544,3
545,4.5
546,3
547,6
548,4.5
